Model,Strategy,Attempts,pass@1,pass@5,pass@10
mistralai/Mistral-7B-Instruct-v0.2,cot_final,30,0.9666666666666667,1,1
mistralai/Mistral-7B-Instruct-v0.2,self_planning,30,0.9,1,1
mistralai/Mistral-7B-Instruct-v0.2,self_critique,30,0.9333333333333333,1,1
mistralai/Mistral-7B-Instruct-v0.2,self_repair,30,0.9,1,1
codellama/CodeLlama-7b-Instruct-hf,cot_final,30,0.30000000000000004,0.8572060123784262,0.988260415246922
codellama/CodeLlama-7b-Instruct-hf,self_planning,30,0.7,0.9991158267020336,1
codellama/CodeLlama-7b-Instruct-hf,self_critique,30,0.16666666666666663,0.6271735926908342,0.8912045808597533
codellama/CodeLlama-7b-Instruct-hf,self_repair,30,0.1333333333333333,0.538405400474366,0.8232074438970991
