model,strategy,tasks,pass@1,pass@3,pass@5
mistralai/Mistral-7B-Instruct-v0.2,cot,10,0.9333333333333333,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.2,scot,10,0.8,0.9,0.9
mistralai/Mistral-7B-Instruct-v0.2,self_planning,10,1.0,1.0,1.0
mistralai/Mistral-7B-Instruct-v0.2,self_debugging,10,0.9666666666666668,1.0,1.0
codellama/CodeLlama-7b-Instruct-hf,cot,10,0.4666666666666668,0.8,0.8
codellama/CodeLlama-7b-Instruct-hf,scot,10,0.33333333333333337,0.7,0.7
codellama/CodeLlama-7b-Instruct-hf,self_planning,10,0.4,0.6,0.6
codellama/CodeLlama-7b-Instruct-hf,self_debugging,10,0.9000000000000001,1.0,1.0
